                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lui     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lui     |   4:lui     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:addi    |   8:lui     |   4:lui     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:lui     |  12:addi    |   8:lui     |   4:lui     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:addi    |  16:lui     |  12:addi    |   8:lui     |   4:lui     r4=4096  BUS_LOAD  MEM[16] accepted 1
    5:   24:addi    |  20:addi    |  16:lui     |  12:addi    |   8:lui     r5=4096  BUS_LOAD  MEM[16] accepted 1
    6:   28:addi    |  24:addi    |  20:addi    |  16:lui     |  12:addi    r5=4104  BUS_LOAD  MEM[24] accepted 1
    7:   32:sw      |  28:addi    |  24:addi    |  20:addi    |  16:lui     r6=4096  BUS_LOAD  MEM[24] accepted 1
    8:   36:sw      |  32:sw      |  28:addi    |  24:addi    |  20:addi    r6=4112  BUS_LOAD  MEM[32] accepted 1
    9:   40:lw      |  36:sw      |  32:sw      |  28:addi    |  24:addi    r10=2  BUS_LOAD  MEM[32] accepted 1
   10:   44:-       |  40:lw      |  36:sw      |  32:sw      |  28:addi    r2=1  BUS_STORE MEM[4096] = 1 accepted 1
   11:   44:-       |  44:-       |  40:lw      |  36:sw      |  32:sw      BUS_STORE MEM[4104] = 1 accepted 1
   12:   44:-       |  44:-       |  44:-       |  40:lw      |  36:sw      BUS_LOAD  MEM[4096] accepted 1
   13:   44:lw      |  44:-       |  44:-       |  44:-       |  40:lw      r2=1  BUS_LOAD  MEM[40] accepted 1
   14:   48:add     |  44:lw      |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
   15:   52:-       |  48:add     |  44:lw      |  44:-       |  44:-       BUS_LOAD  MEM[48] accepted 1
   16:   52:-       |  48:add     |   0:-       |  44:lw      |  44:-       BUS_LOAD  MEM[4104] accepted 1
   17:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=1  BUS_LOAD  MEM[48] accepted 1
   18:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   19:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=2  BUS_LOAD  MEM[56] accepted 1
   20:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   21:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4104  BUS_LOAD  MEM[64] accepted 1
   22:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4112  BUS_LOAD  MEM[64] accepted 1
   23:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=3  BUS_LOAD  MEM[72] accepted 1
   24:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4112] = 2 accepted 1
   25:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
   26:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4120  BUS_LOAD  MEM[80] accepted 1
   27:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
   28:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   29:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   30:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4104] accepted 1
   31:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=1  BUS_LOAD  MEM[4112] accepted 1
   32:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=2  BUS_LOAD  MEM[48] accepted 1
   33:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   34:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=3  BUS_LOAD  MEM[56] accepted 1
   35:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   36:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4112  BUS_LOAD  MEM[64] accepted 1
   37:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4120  BUS_LOAD  MEM[64] accepted 1
   38:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=4  BUS_LOAD  MEM[72] accepted 1
   39:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4120] = 3 accepted 1
   40:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
   41:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4128  BUS_LOAD  MEM[80] accepted 1
   42:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
   43:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   44:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   45:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4112] accepted 1
   46:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=2  BUS_LOAD  MEM[4120] accepted 1
   47:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=3  BUS_LOAD  MEM[48] accepted 1
   48:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   49:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=5  BUS_LOAD  MEM[56] accepted 1
   50:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   51:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4120  BUS_LOAD  MEM[64] accepted 1
   52:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4128  BUS_LOAD  MEM[64] accepted 1
   53:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=5  BUS_LOAD  MEM[72] accepted 1
   54:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4128] = 5 accepted 1
   55:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
   56:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4136  BUS_LOAD  MEM[80] accepted 1
   57:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
   58:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   59:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   60:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4120] accepted 1
   61:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=3  BUS_LOAD  MEM[4128] accepted 1
   62:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=5  BUS_LOAD  MEM[48] accepted 1
   63:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   64:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=8  BUS_LOAD  MEM[56] accepted 1
   65:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   66:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4128  BUS_LOAD  MEM[64] accepted 1
   67:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4136  BUS_LOAD  MEM[64] accepted 1
   68:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=6  BUS_LOAD  MEM[72] accepted 1
   69:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4136] = 8 accepted 1
   70:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
   71:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4144  BUS_LOAD  MEM[80] accepted 1
   72:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
   73:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   74:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   75:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4128] accepted 1
   76:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=5  BUS_LOAD  MEM[4136] accepted 1
   77:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=8  BUS_LOAD  MEM[48] accepted 1
   78:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   79:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=13  BUS_LOAD  MEM[56] accepted 1
   80:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   81:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4136  BUS_LOAD  MEM[64] accepted 1
   82:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4144  BUS_LOAD  MEM[64] accepted 1
   83:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=7  BUS_LOAD  MEM[72] accepted 1
   84:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4144] = 13 accepted 1
   85:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
   86:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4152  BUS_LOAD  MEM[80] accepted 1
   87:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
   88:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   89:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   90:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4136] accepted 1
   91:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=8  BUS_LOAD  MEM[4144] accepted 1
   92:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=13  BUS_LOAD  MEM[48] accepted 1
   93:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
   94:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=21  BUS_LOAD  MEM[56] accepted 1
   95:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
   96:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4144  BUS_LOAD  MEM[64] accepted 1
   97:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4152  BUS_LOAD  MEM[64] accepted 1
   98:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=8  BUS_LOAD  MEM[72] accepted 1
   99:   80:-       |  76:bne     |  72:addi    |  68:sw      |  64:slti    r11=1  BUS_STORE MEM[4152] = 21 accepted 1
  100:   80:wfi     |  80:-       |  76:bne     |  72:addi    |  68:sw      BUS_LOAD  MEM[72] accepted 1
  101:   84:invalid |  80:wfi     |  80:-       |  76:bne     |  72:addi    r6=4160  BUS_LOAD  MEM[80] accepted 1
  102:   40:lw      |   0:-       |   0:-       |   0:-       |  76:bne     BUS_LOAD  MEM[32] accepted 1
  103:   44:lw      |  40:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
  104:   48:add     |  44:lw      |  40:lw      |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
  105:   52:-       |  48:add     |  44:lw      |  40:lw      |   0:-       BUS_LOAD  MEM[4144] accepted 1
  106:   52:-       |  48:add     |   0:-       |  44:lw      |  40:lw      r2=13  BUS_LOAD  MEM[4152] accepted 1
  107:   52:addi    |  52:-       |  48:add     |   0:-       |  44:lw      r3=21  BUS_LOAD  MEM[48] accepted 1
  108:   56:addi    |  52:addi    |  52:-       |  48:add     |   0:-       BUS_LOAD  MEM[48] accepted 1
  109:   60:addi    |  56:addi    |  52:addi    |  52:-       |  48:add     r3=34  BUS_LOAD  MEM[56] accepted 1
  110:   64:slti    |  60:addi    |  56:addi    |  52:addi    |  52:-       BUS_LOAD  MEM[56] accepted 1
  111:   68:sw      |  64:slti    |  60:addi    |  56:addi    |  52:addi    r4=4152  BUS_LOAD  MEM[64] accepted 1
  112:   72:addi    |  68:sw      |  64:slti    |  60:addi    |  56:addi    r5=4160  BUS_LOAD  MEM[64] accepted 1
  113:   76:bne     |  72:addi    |  68:sw      |  64:slti    |  60:addi    r10=9  BUS_LOAD  MEM[72] accepted 1
